Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     36     2862.2744      1362.2744         0.0000         0.0000         0.0000         0.0000         0.0000         0.5138         0.0000         0.0018         0.0000        -0.0117         2.9967         0.0024         0.0768         0.3950         1.0000       428.5800      -104.2041      -281.6851       -42.6904       167.6574       771.9836      1125.5760       304.7312         0.4698        32.7100        24.7458        19.6393         0.3176         0.3537         2.3794
      1     37     2861.7661      1361.7661         0.0000         0.0000         0.0000         0.0000         0.0000         0.4408         0.0000         0.0018         0.0000        -0.0117         2.9967         0.0025         0.0657         0.3949         1.0000       369.5244       -89.1847      -251.4715       -28.8674       195.9053       671.7813      1008.1763       222.7741         0.4698        32.5600        23.6508        19.8999         0.3149         0.3524         2.7660
      1     38     2861.3486      1361.3486         0.0000         0.0000         0.0000         0.0000         0.0000         0.3456         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0027         0.0700         0.3947         1.0000       439.4927       -95.0131      -313.4908       -30.9887       126.7286       563.7709       959.4841       123.3261         0.4698        31.6700        24.2206        20.2505         0.3124         0.3514         4.6663
      1     39     2861.2649      1361.2650         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0028         0.0819         0.3946         1.0000       189.0599      -110.8875       -34.2271       -43.9459       469.9417       445.4211       475.0267        -8.0107         0.4698        30.7200        26.3971        21.0208         0.3108         0.3514         0.0000
      1     40     2861.1980      1361.1981         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0029         0.0652         0.3946         1.0000       184.0199       -88.4270       -67.7703       -27.8226       420.4931       376.2905       434.3837       -68.6532         0.4698        29.3100        24.9205        21.1454         0.3095         0.3514         0.0000
      1     41     2861.1365      1361.1366         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0030         0.0597         0.3946         1.0000       155.2673       -80.9792       -50.1315       -24.1565       438.6748       448.6880       572.0079         5.9285         0.4698        27.7300        24.5369        21.1759         0.3083         0.3514            NaN
      1     42     2861.0854      1361.0854         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0030         0.0493         0.3945         1.0000       130.3335       -67.0460       -49.5280       -13.7601       429.9169       440.1406       568.3964         5.4289         0.4698        26.2800        23.1108        20.8847         0.3073         0.3514            NaN
      1     43     2861.0466      1361.0466         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0031         0.0370         0.3945         1.0000        96.8480       -50.3462       -43.7948        -2.7060       424.6136       434.9796       558.0372        10.5089         0.4698        25.3900        21.2657        20.2971         0.3066         0.3514            NaN
      1     44     2861.0073      1361.0073         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0031         0.0376         0.3945         1.0000       104.0108       -51.2091       -46.4335        -6.3677       421.0493       431.3933       544.8626         7.3136         0.4698        24.8000        21.1946        19.9509         0.3058         0.3514            NaN
      1     45     2860.9712      1360.9712         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0117         2.9966         0.0032         0.0342         0.3945         1.0000        97.1643       -46.5522       -46.2226        -4.3886       417.2728       427.6954       543.9453         7.0365         0.4698        24.1600        20.5700        19.5905         0.3052         0.3514            NaN
