Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
     12     47     2668.8850      1168.9291         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0119         0.0028         0.3388         1.0000        62.3603        -3.8667       -54.8823        -3.6118       430.8905       436.6245       573.1832         0.5553         0.4698        25.6100        24.2081        22.9152         0.0936         0.1652            NaN
     12     48     2668.8804      1168.9247         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0119         0.0028         0.3388         1.0000        64.0951        -3.8413       -55.1148        -5.1399       431.4557       437.2221       566.5270         0.4399         0.4698        25.7000        24.3339        22.7686         0.0935         0.1652            NaN
     13      1     2668.8755      1168.9199         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0119         0.0031         0.3388         1.0000        65.3929        -4.2026       -55.8138        -5.3766       430.0947       435.7192       566.7878        -0.6051         0.4698        25.4900        24.2531        22.6560         0.0935         0.1652            NaN
     13      2     2668.8704      1168.9149         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0119         0.0033         0.3388         1.0000        66.2615        -4.5004       -56.6650        -5.0956       427.8302       433.3086       565.4531        -1.9422         0.4698        25.1300        24.0635        22.5396         0.0934         0.1652            NaN
     13      3     2668.8652      1168.9100         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0119         0.0034         0.3388         1.0000        66.1696        -4.6145       -56.8270        -4.7287       426.1957       431.5624       563.5659        -2.4610         0.4698        24.8700        23.8463        22.4160         0.0933         0.1652            NaN
     13      4     2668.8599      1168.9049         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0119         0.0035         0.3388         1.0000        66.3357        -4.8167       -56.3981        -5.1200       426.6017       431.8525       561.8294        -2.0871         0.4698        24.9500        23.8315        22.3351         0.0933         0.1652            NaN
     13      5     2668.8545      1168.8997         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0120         0.0035         0.3388         1.0000        65.3747        -4.7302       -55.4574        -5.1880       427.3003       432.5155       561.7529        -1.0771         0.4698        25.0700        23.7700        22.2684         0.0932         0.1652            NaN
     13      6     2668.8491      1168.8945         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0120         0.0036         0.3388         1.0000        65.3951        -4.8253       -55.0404        -5.5300       427.9804       433.1309       561.2733        -0.6229         0.4698        25.1900        23.7985        22.2319         0.0931         0.1652            NaN
     13      7     2668.8438      1168.8894         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0120         0.0036         0.3388         1.0000        63.8532        -4.8636       -53.7014        -5.2879       428.8736       433.9124       561.3279         0.7384         0.4698        25.3500        23.6957        22.1840         0.0930         0.1652            NaN
     13      8     2668.8403      1168.8861         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0120         0.0017         0.3388         1.0000        41.9172        -2.2634       -42.6507         2.9973       426.5303       431.6700       560.4851        11.5385         0.4698        24.9500        21.3539        21.6161         0.0930         0.1652            NaN
     13      9     2668.8384      1168.8843         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0120         0.0002         0.3388         1.0000        23.8263        -0.2221       -33.1693         9.5652       422.4138       427.6692       544.1610        20.5181         0.4698        24.2500        18.9665        20.7305         0.0930         0.1652            NaN
     13     10     2668.8352      1168.8812         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0120         0.0015         0.3388         1.0000        50.7496        -2.0937       -46.9524        -1.7033       420.4887       425.8063       528.1464         6.5085         0.4698        23.9200        21.2023        20.7027         0.0930         0.1652            NaN
     13     11     2668.8323      1168.8787         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0176         2.9752         0.0120         0.0008         0.3388         1.0000        49.3990        -1.0515       -49.4056         1.0578       412.4987       418.1481       542.4851         3.1887         0.4698        22.5300        20.4096        20.4663         0.0930         0.1652         0.0000
     13     12     2668.8018      1168.8481         0.0000         0.0000         0.0000         0.0000         0.0000         0.0289         0.0000         0.0018         0.0000        -0.0176         2.9751         0.0120         0.0000         0.3388         1.0000        58.1474        -0.0642       -60.9081         2.8241       394.3290       380.0215       488.3571       -16.7873         0.4698        22.0500        19.6838        20.1399         0.0930         0.1652         5.3943
     13     13     2668.6753      1168.7219         0.0000         0.0000         0.0000         0.0000         0.0000         0.1246         0.0000         0.0018         0.0000        -0.0176         2.9751         0.0120        -0.0000         0.3388         1.0000       108.0656         0.0000      -124.0624        15.9965       295.2307       368.4567       523.5001       -12.2513         0.4698        21.8600        15.7075        19.0150         0.0930         0.1652         4.7957
     13     14     2668.4480      1168.4949         0.0000         0.0000         0.0000         0.0000         0.0000         0.2254         0.0000         0.0018         0.0000        -0.0176         2.9751         0.0120        -0.0000         0.3388         1.0000       145.1982         0.0000      -165.1714        19.9731       233.4195       454.9395       654.8687        76.1843         0.4698        22.6300        13.4807        17.8180         0.0930         0.1652         3.2531
     13     15     2668.1418      1168.1888         0.0000         0.0000         0.0000         0.0000         0.0000         0.3045         0.0000         0.0018         0.0000        -0.0176         2.9750         0.0120        -0.0000         0.3387         1.0000       198.3136         0.0000      -205.4271         7.1138       200.3596       566.5193       793.9515       164.3564         0.4698        24.2600        15.8469        17.6063         0.0930         0.1652         2.5773
     13     16     2667.6240      1167.6711         0.0000         0.0000         0.0000         0.0000         0.0000         0.5161         0.0000         0.0018         0.0000        -0.0176         2.9750         0.0120        -0.0000         0.3386         1.0000        80.3433         0.0000      -150.0177        69.6745       167.5802       686.8783       963.3082       355.4826         0.4698        26.5100        -1.6997        13.3831         0.0930         0.1652         2.2857
     13     17     2667.1267      1167.1741         0.0000         0.0000         0.0000         0.0000         0.0000         0.4955         0.0000         0.0018         0.0000        -0.0176         2.9749         0.0120        -0.0000         0.3385         1.0000       252.2791         0.0000      -256.7086         4.4297       117.8738       791.5361      1011.3748       383.2676         0.4698        26.9400        12.1557        14.0294         0.0930         0.1652         2.1609
     13     18     2666.4766      1166.5243         0.0000         0.0000         0.0000         0.0000         0.0000         0.6481         0.0000         0.0018         0.0000        -0.0176         2.9748         0.0120        -0.0000         0.3383         1.0000       253.8181         0.0000      -275.6650        21.8471        71.5016       895.8751      1230.5270       495.7768         0.4698        28.5700         7.9758        13.2874         0.0930         0.1652         2.0936
     13     19     2665.7964      1165.8442         0.0000         0.0000         0.0000         0.0000         0.0000         0.6786         0.0000         0.0018         0.0000        -0.0176         2.9746         0.0120        -0.0000         0.3381         1.0000       366.0862         0.0000      -356.7140        -9.3719        22.6036       993.0255      1344.2882       541.7924         0.4698        29.3400        15.8842        14.6003         0.0930         0.1652         2.0541
     13     20     2665.0417      1165.0897         0.0000         0.0000         0.0000         0.0000         0.0000         0.7528         0.0000         0.0018         0.0000        -0.0176         2.9745         0.0120         0.0001         0.3379         1.0000       431.5863        -0.1034      -415.5189       -15.9641       -27.0473      1083.1327      1524.0271       604.2802         0.4698        30.0900        19.0237        16.0341         0.0930         0.1652         2.0339
     13     21     2664.1929      1164.2410         0.0000         0.0000         0.0000         0.0000         0.0000         0.8473         0.0000         0.0018         0.0000        -0.0176         2.9743         0.0120        -0.0000         0.3377         1.0000       466.0304         0.0000      -456.8242        -9.2067       -78.4080      1166.4008      1672.7434       679.7849         0.4698        31.0200        18.5852        16.7857         0.0930         0.1652         2.0358
     13     22     2663.2700      1163.3184         0.0000         0.0000         0.0000         0.0000         0.0000         0.9208         0.0000         0.0018         0.0000        -0.0176         2.9741         0.0120         0.0001         0.3375         1.0000       511.8739        -0.1634      -503.1664        -8.5435      -129.3443      1238.3340      1787.9531       739.8831         0.4698        32.0300        19.1530        17.4044         0.0930         0.1652         2.0524
     13     23     2662.2761      1162.3247         0.0000         0.0000         0.0000         0.0000         0.0000         0.9914         0.0000         0.0018         0.0000        -0.0176         2.9739         0.0120         0.0006         0.3372         0.9992       547.8114        -0.7891      -537.7948        -9.2280      -164.9447      1294.4546      1878.3826       784.8522         0.4698        33.0000        19.9614        17.9984         0.0929         0.1652         2.0580
     13     24     2661.2769      1161.3254         0.0000         0.0000         0.0000         0.0000         0.0000         0.9955         0.0000         0.0018         0.0000        -0.0176         2.9737         0.0120         0.0021         0.3369         1.0000       595.4148        -2.8661      -575.1567       -17.3928      -190.3956      1334.9652      1947.2958       804.8994         0.4698        33.8000        22.8182        19.0445         0.0929         0.1652         2.0647
     13     25     2660.2378      1160.2866         0.0000         0.0000         0.0000         0.0000         0.0000         1.0362         0.0000         0.0018         0.0000        -0.0176         2.9735         0.0120         0.0012         0.3366         0.9997       594.2558        -1.6168      -581.6198       -11.0191      -202.7090      1357.7386      1999.9067       829.0363         0.4698        34.2300        22.0989        19.5341         0.0929         0.1652         2.0645
     13     26     2659.1731      1159.2223         0.0000         0.0000         0.0000         0.0000         0.0000         1.0619         0.0000         0.0018         0.0000        -0.0177         2.9733         0.0120         0.0009         0.3363         0.9991       588.9163        -1.2348      -579.0939        -8.5872      -200.9382      1365.9243      2001.7032       837.7827         0.4698        34.9700        21.9147        19.8324         0.0929         0.1652         2.0651
     13     27     2658.1384      1158.1879         0.0000         0.0000         0.0000         0.0000         0.0000         1.0306         0.0000         0.0018         0.0000        -0.0177         2.9730         0.0120         0.0021         0.3360         1.0000       595.6633        -2.8694      -578.7329       -14.0600      -188.5785      1357.8586      1982.1909       821.1801         0.4698        35.5600        23.7307        20.4674         0.0928         0.1652         2.0665
     13     28     2657.1362      1157.1857         0.0000         0.0000         0.0000         0.0000         0.0000         0.9970         0.0000         0.0018         0.0000        -0.0177         2.9728         0.0120         0.0035         0.3357         1.0000       584.2305        -4.7943      -560.9651       -18.4715      -155.2249      1326.3214      1933.7181       783.7837         0.4698        36.1000        25.5902        21.3009         0.0927         0.1652         2.0615
     13     29     2656.1458      1156.1953         0.0000         0.0000         0.0000         0.0000         0.0000         0.9851         0.0000         0.0018         0.0000        -0.0177         2.9726         0.0120         0.0037         0.3354         0.9989       541.8234        -5.0430      -521.1724       -15.6079      -108.1312      1278.3569      1853.2955       742.1011         0.4698        36.5100        25.6315        21.8400         0.0927         0.1652         2.0454
     13     30     2655.2263      1155.2762         0.0000         0.0000         0.0000         0.0000         0.0000         0.9117         0.0000         0.0018         0.0000        -0.0177         2.9723         0.0120         0.0055         0.3351         1.0000       521.4798        -7.4905      -493.7560       -20.2327       -63.4249      1217.4263      1752.2490       678.6353         0.4698        37.0000        27.4564        22.6252         0.0926         0.1652         2.0519
     13     31     2654.3264      1154.3766         0.0000         0.0000         0.0000         0.0000         0.0000         0.8924         0.0000         0.0018         0.0000        -0.0177         2.9721         0.0120         0.0059         0.3349         0.9987       495.4814        -8.0435      -469.2856       -18.1521       -33.1805      1154.0149      1677.5608       621.8777         0.4698        37.0400        27.6676        23.1812         0.0924         0.1652         2.0852
     13     32     2653.4856      1153.5359         0.0000         0.0000         0.0000         0.0000         0.0000         0.8334         0.0000         0.0018         0.0000        -0.0177         2.9719         0.0120         0.0055         0.3346         0.9987       456.0342        -7.3874      -432.1306       -16.5152        11.2544      1073.3542      1564.5647       551.1110         0.4698        37.2500        27.7723        23.5839         0.0923         0.1652         2.1347
     13     33     2652.7341      1152.7847         0.0000         0.0000         0.0000         0.0000         0.0000         0.7433         0.0000         0.0018         0.0000        -0.0177         2.9717         0.0120         0.0063         0.3344         1.0000       433.3760        -8.5799      -405.5422       -19.2539        50.6480       987.2712      1447.4794       468.8046         0.4698        37.3000        28.9401        24.1367         0.0922         0.1652         2.2113
     13     34     2652.0493      1152.1001         0.0000         0.0000         0.0000         0.0000         0.0000         0.6768         0.0000         0.0018         0.0000        -0.0177         2.9715         0.0120         0.0062         0.3341         1.0000       405.3141        -8.4228      -378.2653       -18.6259        85.4149       899.2051      1341.6333       389.4352         0.4698        37.4200        29.3224        24.5913         0.0921         0.1652         2.3436
     13     35     2651.4294      1151.4805         0.0000         0.0000         0.0000         0.0000         0.0000         0.6113         0.0000         0.0018         0.0000        -0.0177         2.9714         0.0120         0.0066         0.3339         0.9994       387.2444        -8.8556      -360.7592       -17.6296       107.2822       805.2952      1233.1156       305.4031         0.4698        37.3300        29.5035        24.9438         0.0919         0.1652         2.5880
     13     36     2650.9014      1150.9525         0.0000         0.0000         0.0000         0.0000         0.0000         0.5202         0.0000         0.0018         0.0000        -0.0177         2.9712         0.0121         0.0063         0.3338         1.0000       378.7330        -8.4569      -354.2278       -16.0488       114.3746       703.4688      1128.0763       215.6546         0.4698        37.1300        29.4193        25.1732         0.0918         0.1652         3.1201
     13     37     2650.4280      1150.4792         0.0000         0.0000         0.0000         0.0000         0.0000         0.4676         0.0000         0.0018         0.0000        -0.0178         2.9711         0.0121         0.0042         0.3336         0.9969       398.5085        -5.6889      -383.9758        -8.8442        67.0038       600.5807      1068.9198       134.4199         0.4698        36.8100        27.6415        24.9364         0.0917         0.1652         4.6751
     13     38     2649.9170      1149.9685         0.0000         0.0000         0.0000         0.0000         0.0000         0.5090         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121        -0.0000         0.3335         0.9008      1248.7212         0.0000     -1300.3069        51.5867     -1119.3677       494.6445      2123.3635       131.4157         0.4698        35.7400        10.5317        20.8945         0.0917         0.1652        29.1990
     13     39     2649.9063      1149.9579         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0090         0.3333         1.0000       111.2899       -12.0959       -59.8257       -39.3676       478.2716       433.0479       348.4091       -47.8513         0.4698        34.7700        31.8872        23.4262         0.0916         0.1652         0.0000
     13     40     2649.8967      1149.9486         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0077         0.3333         1.0000        89.0657       -10.3827       -51.2997       -27.3833       482.5264       486.8036       627.5145        10.8139         0.4698        33.8500        31.0813        24.6148         0.0914         0.1652            NaN
     13     41     2649.8889      1149.9410         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0060         0.3333         1.0000        84.4969        -8.1102       -54.7417       -21.6455       475.5602       480.5745       622.2790         7.0641         0.4698        32.7100        30.6718        25.2470         0.0913         0.1652            NaN
     13     42     2649.8818      1149.9342         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0051         0.3333         1.0000        77.8589        -6.9050       -56.5592       -14.3945       463.5821       468.5695       617.1248         3.4229         0.4698        30.8500        29.2781        25.3539         0.0912         0.1652            NaN
     13     43     2649.8760      1149.9286         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0043         0.3333         1.0000        70.2938        -5.7840       -54.9428        -9.5663       456.8189       461.7368       605.5681         3.9553         0.4698        29.7900        28.0346        25.1822         0.0911         0.1652            NaN
     13     44     2649.8733      1149.9260         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0007         0.3333         1.0000        28.8149        -0.9669       -33.1227         5.2748       453.1342       458.0905       596.0447        25.2611         0.4698        29.2000        23.7033        24.1181         0.0911         0.1652            NaN
     13     45     2649.8677      1149.9208         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0039         0.3333         1.0000        71.5584        -5.2360       -53.8357       -12.4870       455.2518       460.1815       565.8700         4.8392         0.4698        29.5400        27.6194        24.4040         0.0910         0.1652            NaN
     13     46     2649.8625      1149.9158         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0034         0.3333         1.0000        69.6970        -4.6334       -55.1787        -9.8841       450.6264       455.6714       592.8715         2.9177         0.4698        28.7900        27.1769        24.4476         0.0909         0.1652            NaN
     13     47     2649.8577      1149.9111         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0030         0.3333         1.0000        69.4184        -4.0580       -57.2997        -8.0602       444.9313       450.1079       589.0818         0.0740         0.4698        27.8600        26.7098        24.3666         0.0909         0.1652            NaN
     13     48     2649.8533      1149.9070         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0025         0.3333         1.0000        65.5270        -3.4311       -55.6560        -6.4391       443.2167       448.4173       585.5300         1.4845         0.4698        27.5800        26.1745        24.2005         0.0908         0.1652            NaN
     14      1     2649.8491      1149.9031         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0023         0.3333         1.0000        65.5301        -3.1338       -56.0846        -6.3113       441.3442       446.6013       581.5724         0.8315         0.4698        27.2700        25.9731        24.0584         0.0908         0.1652            NaN
     14      2     2649.8457      1149.8998         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0017         0.3333         1.0000        63.0385        -2.3585       -55.7014        -4.9779       438.3027       443.6948       579.9887         0.8935         0.4698        26.7600        25.4569        23.8543         0.0907         0.1652            NaN
     14      3     2649.8428      1149.8970         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0013         0.3333         1.0000        59.1769        -1.8216       -53.7233        -3.6322       436.7135       442.1055       576.0901         2.6331         0.4698        26.5000        24.8750        23.5969         0.0907         0.1652            NaN
     14      4     2649.8391      1149.8936         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0017         0.3333         1.0000        61.5050        -2.3255       -53.5125        -5.6672       439.0765       444.3388       572.0879         3.0688         0.4698        26.9000        25.1897        23.5110         0.0907         0.1652            NaN
     14      5     2649.8354      1149.8901         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0017         0.3333         1.0000        62.6633        -2.3622       -54.4558        -5.8453       437.7282       442.9877       574.0443         1.9204         0.4698        26.6800        25.1542        23.4426         0.0907         0.1652            NaN
     14      6     2649.8320      1149.8868         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0019         0.3333         1.0000        65.7306        -2.5721       -56.8243        -6.3346       435.4094       440.6688       573.3981        -0.7962         0.4698        26.3000        25.2237        23.4122         0.0906         0.1652            NaN
     14      7     2649.8289      1149.8838         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0121         0.0013         0.3333         1.0000        62.1172        -1.7657       -56.9464        -3.4042       429.5394       434.9058       573.1603        -1.6917         0.4698        25.3200        24.3696        23.1942         0.0906         0.1652            NaN
     14      8     2649.8259      1149.8812         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0122         0.0010         0.3333         1.0000        59.2494        -1.3744       -56.0002        -1.8745       426.3400       431.6884       566.6199        -1.2433         0.4698        24.7900        23.7215        22.9148         0.0906         0.1652            NaN
     14      9     2649.8230      1149.8784         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0122         0.0013         0.3333         1.0000        58.3846        -1.7250       -54.6148        -2.0450       426.4375       431.5638       561.5726        -0.0654         0.4698        24.8300        23.4901        22.6898         0.0905         0.1652            NaN
     14     10     2649.8198      1149.8756         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0122         0.0011         0.3333         1.0000        57.4759        -1.5404       -53.8396        -2.0956       425.9571       431.0828       559.8976         0.6371         0.4698        24.7500        23.2795        22.4970         0.0905         0.1652            NaN
     14     11     2649.8171      1149.8730         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0178         2.9710         0.0122         0.0010         0.3333         1.0000        58.0982        -1.3999       -54.7690        -1.9299       423.2848       428.4413       558.0755        -0.6624         0.4698        24.3000        23.0401        22.3156         0.0905         0.1652            NaN
     14     12     2649.7952      1149.8513         0.0000         0.0000         0.0000         0.0000         0.0000         0.0191         0.0000         0.0018         0.0000        -0.0178         2.9708         0.0122         0.0010         0.3333         1.0000        68.2402        -1.4168       -65.2820        -1.5410       409.0043       391.2062       503.2726       -22.3520         0.4698        24.3200        22.7493        22.1296         0.0905         0.1652         5.4229
     14     13     2649.6743      1149.7306         0.0000         0.0000         0.0000         0.0000         0.0000         0.1192         0.0000         0.0018         0.0000        -0.0178         2.9708         0.0122        -0.0000         0.3333         1.0000       120.5472         0.0000      -130.8161        10.2685       309.2607       377.5215       537.9630       -21.6888         0.4698        24.1800        19.2392        21.2014         0.0905         0.1652         4.8658
     14     14     2649.3997      1149.4563         0.0000         0.0000         0.0000         0.0000         0.0000         0.2727         0.0000         0.0018         0.0000        -0.0178         2.9708         0.0122        -0.0000         0.3333         1.0000       127.2781         0.0000      -154.6900        27.4119       245.7780       463.5979       671.1847        84.9975         0.4698        25.2400        13.4853        19.3185         0.0905         0.1652         3.3042
     14     15     2649.0737      1149.1305         0.0000         0.0000         0.0000         0.0000         0.0000         0.3241         0.0000         0.0018         0.0000        -0.0178         2.9707         0.0122        -0.0000         0.3332         1.0000       179.9541         0.0000      -196.7448        16.7908       202.9474       567.0085       792.3121       171.6154         0.4698        24.8200        14.5922        18.4237         0.0905         0.1652         2.6023
     14     16     2648.6602      1148.7172         0.0000         0.0000         0.0000         0.0000         0.0000         0.4119         0.0000         0.0018         0.0000        -0.0178         2.9707         0.0122        -0.0000         0.3331         1.0000       217.8703         0.0000      -230.6902        12.8200       164.3591       676.6917       948.1954       267.9815         0.4698        25.6000        14.8150        17.8651         0.0905         0.1652         2.2965
     14     17     2648.1943      1148.2515         0.0000         0.0000         0.0000         0.0000         0.0000         0.4641         0.0000         0.0018         0.0000        -0.0178         2.9706         0.0122        -0.0000         0.3330         1.0000       282.4045         0.0000      -284.6753         2.2710       115.6241       781.3376      1098.9846       347.6704         0.4698        25.9400        17.2259        18.0171         0.0905         0.1652         2.1631
     14     18     2647.6499      1147.7072         0.0000         0.0000         0.0000         0.0000         0.0000         0.5429         0.0000         0.0018         0.0000        -0.0178         2.9704         0.0122        -0.0000         0.3328         1.0000       325.8574         0.0000      -328.5611         2.7042        64.1800       881.6202      1257.5946       435.5146         0.4698        26.4600        17.2559        18.0564         0.0905         0.1652         2.0924
     14     19     2647.0195      1147.0771         0.0000         0.0000         0.0000         0.0000         0.0000         0.6283         0.0000         0.0018         0.0000        -0.0178         2.9703         0.0122        -0.0000         0.3327         1.0000       371.6260         0.0000      -373.1371         1.5105        14.0723       979.6237      1397.3259       519.7196         0.4698        27.4300        17.6312        18.1385         0.0905         0.1652         2.0553
     14     20     2646.2922      1146.3501         0.0000         0.0000         0.0000         0.0000         0.0000         0.7255         0.0000         0.0018         0.0000        -0.0178         2.9701         0.0122        -0.0000         0.3325         1.0000       406.8078         0.0000      -410.7944         3.9863       -34.0496      1071.6796      1531.4489       603.9478         0.4698        28.5200        17.0164        18.0298         0.0905         0.1652         2.0347
     14     21     2645.4546      1145.5126         0.0000         0.0000         0.0000         0.0000         0.0000         0.8358         0.0000         0.0018         0.0000        -0.0178         2.9700         0.0122        -0.0000         0.3323         1.0000       433.2534         0.0000      -442.9316         9.6787       -82.3608      1157.4879      1655.3438       688.5740         0.4698        29.9600        15.3054        17.5635         0.0905         0.1652         2.0364
     14     22     2644.5620      1144.6202         0.0000         0.0000         0.0000         0.0000         0.0000         0.8907         0.0000         0.0018         0.0000        -0.0178         2.9697         0.0122        -0.0000         0.3320         1.0000       498.7771         0.0000      -498.3873        -0.3898      -133.0187      1229.4698      1762.3527       739.3792         0.4698        30.9800        17.6732        17.8209         0.0905         0.1652         2.0525
     14     23     2643.6052      1143.6637         0.0000         0.0000         0.0000         0.0000         0.0000         0.9549         0.0000         0.0018         0.0000        -0.0178         2.9695         0.0122        -0.0000         0.3318         1.0000       537.0906         0.0000      -533.9990        -3.0923      -168.5336      1287.2339      1865.8560       784.8216         0.4698        32.0700        18.6913        18.1829         0.0905         0.1652         2.0581
     14     24     2642.5811      1142.6398         0.0000         0.0000         0.0000         0.0000         0.0000         1.0224         0.0000         0.0018         0.0000        -0.0178         2.9693         0.0122        -0.0000         0.3315         1.0000       549.2013         0.0000      -549.5134         0.3120      -190.5314      1330.8137      1935.6627       826.8507         0.4698        33.4400        18.0951        18.2528         0.0905         0.1652         2.0648
     14     25     2641.5627      1141.6216         0.0000         0.0000         0.0000         0.0000         0.0000         1.0168         0.0000         0.0018         0.0000        -0.0178         2.9690         0.0122        -0.0000         0.3312         1.0000       582.0222         0.0000      -571.1013       -10.9200      -195.3529      1351.7080      1954.7635       827.9967         0.4698        34.0800        21.3267        19.0423         0.0905         0.1652         2.0569
     14     26     2640.5281      1140.5873         0.0000         0.0000         0.0000         0.0000         0.0000         1.0324         0.0000         0.0018         0.0000        -0.0179         2.9687         0.0122         0.0002         0.3309         0.9997       591.9105        -0.2095      -577.7328       -13.9683      -192.4005      1361.2058      1983.3328       827.8944         0.4698        34.9900        22.9742        19.8899         0.0905         0.1652         2.0575
     14     27     2639.4702      1139.5295         0.0000         0.0000         0.0000         0.0000         0.0000         1.0561         0.0000         0.0018         0.0000        -0.0179         2.9684         0.0122        -0.0000         0.3306         1.0000       565.2921         0.0000      -560.1062        -5.1865      -182.2671      1353.5959      1979.8472       830.9825         0.4698        35.8200        21.3499        20.0423         0.0905         0.1652         2.0666
